Geneid,8cell_1,8cell_2,8cell_3,Morula_1,Morula_2,Morula_3,Blastocyst_1,Blastocyst_2,Blastocyst_3
ENSG00000228037,0,0,0,2,0,0,0,0,0
ENSG00000142611,126,7,13,0,0,0,0,0,0
ENSG00000284616,0,0,0,0,0,0,0,0,0
ENSG00000157911,0,95,3,2,0,0,71,56,7
ENSG00000260972,0,0,0,0,0,0,0,0,0
ENSG00000224340,0,0,0,0,0,0,0,0,0
ENSG00000226374,0,0,0,0,0,0,0,0,0
ENSG00000229280,0,0,0,0,0,0,0,0,0
ENSG00000142655,187,433,184,29,2,80,220,82,83
ENSG00000232596,0,0,0,0,0,0,0,0,0
ENSG00000235054,0,0,0,0,8,0,0,0,0
ENSG00000231510,0,60,0,0,0,0,0,0,0
ENSG00000149527,2,6,10,0,0,0,2,0,0
ENSG00000284739,0,0,0,0,0,0,0,0,0
ENSG00000171621,345,94,325,149,57,85,135,31,116
ENSG00000272235,0,0,0,0,0,0,0,0,0
ENSG00000284694,0,0,0,0,0,0,0,0,0
ENSG00000224387,0,0,0,0,0,0,0,0,0
ENSG00000142583,0,499,377,79,4,143,2,0,0
ENSG00000284674,0,0,0,0,0,0,0,0,0
ENSG00000224338,0,0,0,0,0,0,0,0,0
ENSG00000287727,0,0,0,0,0,0,0,0,0
ENSG00000286448,0,0,0,0,0,0,0,0,0
ENSG00000284703,0,0,0,0,0,0,0,0,0
ENSG00000226457,0,0,0,0,0,0,0,0,0
ENSG00000173614,3133,2208,2474,214,186,953,102,5,47
ENSG00000215720,0,0,0,0,0,0,0,0,0
ENSG00000241326,0,0,0,0,0,0,0,0,0
ENSG00000233623,0,0,0,0,0,0,9,0,0
ENSG00000204624,241,181,0,36,53,27,4,0,0
ENSG00000142606,0,0,0,0,0,0,0,0,0
ENSG00000225931,0,0,0,0,0,0,0,0,0
ENSG00000171729,162,129,128,292,192,169,178,95,150
ENSG00000229393,0,0,0,0,0,0,0,0,0
ENSG00000037637,1021,215,337,170,38,105,248,71,221
ENSG00000287586,0,0,0,0,0,0,0,0,0
ENSG00000159423,9,0,0,0,2,16,399,363,203
ENSG00000227169,0,0,0,0,0,0,0,0,0
ENSG00000283356,0,0,0,0,0,0,0,0,0
ENSG00000157916,1110,762,1453,1610,509,1150,2889,543,1945
ENSG00000157881,0,0,131,5,0,2,37,8,0
ENSG00000238290,0,0,0,0,0,0,0,0,0
ENSG00000225387,0,0,0,0,0,0,0,0,0
ENSG00000048707,2071,1138,1946,634,130,343,563,61,133
ENSG00000225196,0,0,0,0,0,0,0,0,0
ENSG00000162444,2425,4343,6293,1381,1012,1995,947,34,179
ENSG00000279625,0,0,0,0,0,0,0,0,0
ENSG00000180758,0,2,39,74,31,284,90,6,71
ENSG00000184677,3246,2584,3546,955,289,1245,755,130,484
ENSG00000288398,0,0,118,1,0,0,32,1,0
ENSG00000224621,0,0,0,0,0,4,0,0,0
ENSG00000285833,0,4,0,0,0,0,0,0,0
ENSG00000131697,54,225,226,183,16,22,259,49,64
ENSG00000284692,0,0,0,0,0,0,0,0,0
ENSG00000284745,0,0,0,0,0,0,0,0,0
ENSG00000280222,0,0,0,0,0,0,0,0,0
ENSG00000285945,0,0,0,0,0,0,0,0,0
ENSG00000197921,0,0,0,0,0,0,0,0,0
ENSG00000233755,0,0,0,0,0,0,0,0,0
ENSG00000233929,0,1,0,0,0,0,0,0,0
ENSG00000234166,0,0,0,0,0,0,0,0,0
ENSG00000055070,2691,3051,4664,1219,706,1483,4593,2506,2001
ENSG00000230035,0,0,0,0,0,0,0,0,0
ENSG00000225643,0,0,0,0,4,1,5,0,0
ENSG00000284666,0,0,0,0,0,0,0,0,0
ENSG00000228943,0,0,0,0,0,0,0,0,0
ENSG00000234397,0,0,0,0,0,0,0,0,0
ENSG00000204138,1956,3146,1847,483,122,1226,763,50,139
ENSG00000233419,0,0,0,0,0,0,0,0,0
ENSG00000235263,0,0,0,0,0,0,0,0,0
ENSG00000228176,0,0,0,0,0,0,0,0,0
ENSG00000225011,0,0,0,0,0,0,0,0,0
ENSG00000284676,0,0,0,4,0,0,0,0,0
ENSG00000090020,3662,2949,2251,241,567,1283,1441,600,575
ENSG00000157978,55,593,281,392,291,340,273,197,231
ENSG00000158006,3277,3258,2801,369,173,1047,1064,80,534
ENSG00000214812,0,24,2,0,0,0,0,0,0
ENSG00000196581,800,3,4,0,2,67,26,16,4
ENSG00000169403,13,497,304,89,11,370,25,0,0
ENSG00000171612,3027,1083,1870,659,193,1471,699,43,398
ENSG00000270927,0,0,0,0,0,0,0,0,0
ENSG00000188910,0,0,0,0,0,0,8,0,0
ENSG00000230523,0,0,0,0,0,0,0,0,0
ENSG00000158161,4936,2129,1776,476,246,1020,409,49,203
ENSG00000142627,1,0,82,197,0,0,325,65,59
ENSG00000284668,0,335,65,0,27,36,10,0,0
ENSG00000233234,0,0,0,0,0,0,0,0,0
ENSG00000142632,0,50,0,0,0,1,18,0,4
ENSG00000234593,0,0,96,0,0,0,0,0,0
ENSG00000189337,0,0,23,162,2,37,630,418,143
ENSG00000028137,0,1,0,0,0,0,0,2,0
ENSG00000204464,0,0,0,0,0,0,0,0,0
ENSG00000283259,0,0,0,0,0,0,0,0,0
ENSG00000130939,1707,2620,2046,748,371,1214,942,221,232
ENSG00000175147,0,0,0,0,0,0,0,0,0
ENSG00000127472,0,0,0,0,0,53,0,0,0
ENSG00000060656,0,0,16,108,2,0,1261,952,1085
ENSG00000163867,422,452,357,93,30,318,73,3,33
ENSG00000230214,91,0,0,0,0,0,0,0,0
ENSG00000189280,0,0,0,0,0,0,41,0,0
ENSG00000134698,0,0,11,0,0,0,42,7,35
ENSG00000272420,0,0,0,0,0,0,0,0,0
ENSG00000132881,129,0,0,17,19,0,28,34,11
ENSG00000273274,0,0,0,24,0,0,2,0,0
ENSG00000236648,0,0,0,0,0,0,0,0,0
ENSG00000232273,0,0,0,0,0,0,0,0,0
ENSG00000287396,0,30,40,0,0,0,0,0,0
ENSG00000130940,14,2,64,0,10,31,4,0,0
ENSG00000163879,0,0,17,1,0,0,38,0,2
ENSG00000227527,0,8,13,0,0,0,0,0,0
ENSG00000116954,416,394,266,144,63,389,345,10,190
ENSG00000228589,992,144,211,73,96,276,156,16,63
ENSG00000163873,0,0,0,0,0,3,0,0,0
ENSG00000117215,0,0,0,0,0,0,0,0,0
ENSG00000230163,0,0,0,0,0,0,0,0,0
ENSG00000227538,0,0,0,0,0,0,0,0,0
ENSG00000044012,0,0,0,0,0,0,0,0,0
ENSG00000179051,2273,6212,9554,1957,968,1864,3614,859,1627
ENSG00000215895,7,2,2,1,0,4,0,0,2
ENSG00000284650,0,0,0,0,0,0,0,0,0
ENSG00000236948,0,0,0,0,0,0,0,0,0
ENSG00000126067,11619,8919,14778,4168,2373,5982,9413,1235,3770
ENSG00000274944,0,0,0,0,0,0,1,0,0
ENSG00000272078,0,0,0,0,0,0,2,0,0
ENSG00000230451,0,0,0,0,0,0,0,0,0
ENSG00000231606,0,0,0,0,0,0,0,0,0
ENSG00000284632,0,0,0,0,0,0,0,0,0
ENSG00000054118,5675,3874,3059,1045,844,3130,2143,358,1068
ENSG00000254553,0,0,0,0,0,0,0,0,0
ENSG00000284653,0,0,0,0,0,0,0,0,0
ENSG00000237749,506,100,110,34,33,62,40,3,28
ENSG00000276747,3033,1730,2656,80,161,436,0,20,36
ENSG00000284705,0,0,0,0,0,0,0,0,0
ENSG00000228776,0,0,0,0,0,0,0,0,0
ENSG00000159339,0,0,98,0,0,66,0,0,0
ENSG00000261781,0,0,0,0,0,0,0,0,0
ENSG00000284743,0,0,0,0,0,0,0,0,0
ENSG00000158315,3,14,66,2,37,16,24,0,0
ENSG00000186973,0,0,12,0,0,22,0,0,0
ENSG00000146463,495,692,564,221,56,722,689,37,295
ENSG00000271741,0,0,0,0,0,0,0,0,0
ENSG00000142686,435,156,730,126,18,80,52,0,24
ENSG00000224751,0,0,0,0,0,0,0,0,0
ENSG00000117148,27716,18682,19648,901,124,516,7,61,206
ENSG00000230585,0,0,127,0,0,9,0,0,0
ENSG00000117000,4940,1438,3967,310,214,2045,302,23,211
ENSG00000284989,0,0,0,0,0,0,0,0,0
ENSG00000231630,0,0,0,0,0,0,0,0,0
ENSG00000092853,5423,3229,3702,842,208,1581,794,94,495
ENSG00000255811,0,0,0,0,0,0,0,0,0
ENSG00000134697,15462,5008,7308,3041,1253,5173,3373,115,1382
ENSG00000187513,0,0,0,0,0,0,0,0,0
ENSG00000284720,0,0,0,3,0,0,0,0,0
ENSG00000225671,0,0,0,0,0,0,0,0,0
ENSG00000116151,7,63,151,41,31,8,20,48,40
ENSG00000006555,0,0,0,0,0,0,23,2,31
ENSG00000236111,5,4,1,0,0,0,1,0,0
ENSG00000214114,1019,1279,1580,356,133,578,1047,73,715
ENSG00000116544,12,9,29,5,0,46,63,52,9
ENSG00000236723,0,0,0,0,0,3,0,0,0
ENSG00000232467,0,0,1,0,0,0,0,0,0
ENSG00000117016,0,0,8,0,0,117,44,0,0
ENSG00000163866,874,897,1438,965,534,780,2544,582,1087
ENSG00000237130,0,0,0,0,0,0,0,0,0
ENSG00000232335,0,0,0,0,0,0,0,0,0
ENSG00000260971,0,15,0,0,0,0,0,0,0
ENSG00000284696,0,0,0,0,0,0,0,0,0
ENSG00000238242,0,0,0,0,0,0,0,0,0
ENSG00000232762,0,0,0,0,0,0,0,0,0
ENSG00000162384,1871,447,407,290,193,284,687,78,287
ENSG00000162391,4089,5797,6646,1039,922,2487,2037,989,832
ENSG00000117859,807,502,1707,162,19,486,1114,41,421
ENSG00000162396,479,579,747,170,38,117,235,132,184
ENSG00000284686,55,10,0,0,0,0,0,0,0
ENSG00000162378,135,34,485,34,26,167,359,37,82
ENSG00000233079,0,0,65,0,0,0,4,0,0
ENSG00000259818,0,0,0,0,0,0,0,0,0
ENSG00000229444,28,55,186,20,16,72,0,0,0
ENSG00000240563,525,4231,7631,699,478,901,230,97,496
ENSG00000234318,0,0,14,0,2,6,2,0,0
ENSG00000284773,0,0,0,0,0,0,7,0,0
ENSG00000234481,0,0,0,0,0,0,0,0,0
ENSG00000235612,0,11,36,0,0,0,0,0,0
ENSG00000227485,0,0,0,0,0,0,0,0,0
ENSG00000224609,0,0,16,0,0,39,0,0,0
ENSG00000235545,0,0,3,0,0,0,0,0,0
ENSG00000236646,0,0,1,0,0,0,10,0,0
ENSG00000238063,0,0,0,0,0,0,0,0,0
ENSG00000227104,0,0,0,0,0,0,0,0,0
ENSG00000243725,33,45,45,22,3,6,24,4,3
ENSG00000171872,31663,19306,18543,753,650,5083,72,14,10
ENSG00000162407,0,0,0,0,0,0,8,1,38
ENSG00000285079,0,66,0,0,0,0,0,0,0
ENSG00000163877,4171,3080,2074,306,121,295,283,17,146
ENSG00000228929,2199,785,1236,304,255,570,611,69,343
ENSG00000224570,0,0,0,0,0,0,0,0,0
ENSG00000224980,0,0,0,0,0,0,0,0,0
ENSG00000278967,0,0,0,0,0,0,0,0,0
ENSG00000157184,37,10,9,34,9,0,81,26,62
ENSG00000198815,1965,1993,2054,408,155,671,288,54,166
ENSG00000134744,50,635,308,182,162,192,474,129,135
ENSG00000233910,0,0,0,0,0,0,0,0,0
ENSG00000287703,0,0,0,0,0,0,0,0,0
ENSG00000283039,162,312,203,0,0,0,0,0,0
ENSG00000229294,0,0,20,0,0,0,2,0,0
ENSG00000234088,0,0,0,0,0,0,0,0,0
ENSG00000236973,0,0,0,0,0,0,0,0,0
ENSG00000277397,0,0,0,0,0,0,0,0,0
ENSG00000235446,0,0,0,0,0,0,0,0,0
ENSG00000162385,5707,5251,4871,1019,228,1730,1170,69,397
ENSG00000223883,0,0,0,0,0,0,0,0,0
ENSG00000237227,0,0,0,0,0,0,0,0,0
ENSG00000275350,0,0,0,0,0,0,0,0,0
ENSG00000116652,18,0,2,0,0,0,0,0,0
ENSG00000123080,198,2,224,30,0,0,17,4,0
ENSG00000285778,0,0,0,0,0,0,0,0,0
ENSG00000233407,0,0,0,0,0,0,0,0,0
ENSG00000225675,0,0,0,0,0,0,0,0,0
ENSG00000162598,0,0,0,0,0,0,0,0,0
ENSG00000280317,0,0,0,0,0,0,0,0,0
ENSG00000162415,0,0,55,1,2,0,64,0,10
ENSG00000162600,441,312,396,166,19,212,153,43,150
ENSG00000116704,104,164,385,55,28,45,178,11,72
ENSG00000157193,14,0,2,1,4,0,54,5,12
ENSG00000116205,1678,2120,3149,303,134,209,423,36,130
ENSG00000234204,0,0,0,0,0,0,0,0,0
ENSG00000233099,0,0,0,0,0,0,0,0,0
ENSG00000233994,16,16,13,0,0,2,10,0,0
ENSG00000233973,0,0,0,0,0,0,0,0,0
ENSG00000132854,0,1,12,78,24,26,316,142,271
ENSG00000227556,0,0,0,0,0,0,0,0,0
ENSG00000162607,8493,4696,5438,720,237,2528,811,230,565
ENSG00000285954,0,0,0,0,0,0,0,0,0
ENSG00000233333,0,0,0,0,0,0,0,0,0
ENSG00000154027,220,229,360,22,14,114,52,57,76
ENSG00000234108,1,0,0,0,0,0,0,0,0
ENSG00000232676,0,0,0,1,0,0,0,0,0
ENSG00000213579,0,2,0,0,0,0,0,0,0
ENSG00000137960,0,29,195,22,0,0,89,26,80
ENSG00000237852,121,4,4,2,0,12,1,0,0
ENSG00000132855,0,2,6,0,0,0,0,0,0
ENSG00000285407,0,6,63,19,0,0,7,0,0
ENSG00000270549,0,0,0,0,0,0,0,0,0
ENSG00000237163,0,0,0,0,0,0,0,0,0
ENSG00000229636,0,0,0,0,0,0,0,0,0
ENSG00000116675,45,28,153,0,0,27,1291,117,430
ENSG00000162433,262,552,2239,2264,710,1811,9172,827,6692
ENSG00000213625,265,145,452,248,18,111,539,51,265
ENSG00000233664,0,0,0,0,0,0,0,0,0
ENSG00000158966,0,0,199,113,79,266,178,23,207
ENSG00000213703,0,0,0,0,0,0,15,0,0
ENSG00000203965,44,24,131,12,12,18,12,0,6
ENSG00000223479,0,0,0,0,0,0,0,0,0
ENSG00000233674,0,0,17,0,0,0,0,0,0
ENSG00000153898,0,0,166,1,0,74,2,4,2
ENSG00000117069,0,0,19,0,0,16,2,0,0
ENSG00000125703,412,35,350,108,17,335,148,36,104
ENSG00000285041,0,0,0,0,0,0,0,0,0
ENSG00000234144,0,0,0,0,0,0,0,2,0
ENSG00000277670,0,0,0,0,0,0,0,0,0
ENSG00000227466,0,0,0,0,0,0,0,0,0
ENSG00000230498,0,0,0,0,0,0,0,0,0
ENSG00000285782,0,4,0,0,0,0,0,0,0
ENSG00000162618,0,0,22,0,0,0,0,0,0
ENSG00000224493,0,0,0,0,0,1,0,0,0
ENSG00000131233,0,0,0,0,0,0,0,0,0
ENSG00000272371,0,0,0,0,0,0,0,0,0
ENSG00000287647,0,0,0,0,0,0,0,0,0
ENSG00000229225,0,0,0,0,0,0,0,0,0
ENSG00000225598,0,0,0,0,0,0,0,0,0
ENSG00000286455,0,0,0,0,0,0,0,0,0
ENSG00000230053,0,0,0,0,0,0,0,0,0
ENSG00000137941,3,129,107,0,0,26,19,0,0
ENSG00000224326,0,0,0,0,0,0,0,0,0
ENSG00000286548,0,0,0,0,0,0,2,4,0
ENSG00000066135,556,579,229,23,8,284,60,9,14
ENSG00000272094,16,0,2,0,0,0,0,0,0
